"","Leeftijd","IC_naar_verpleeg","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal"
"V1","<20",0,5,9,1,15
"V2","20 - 24",4,1,15,0,20
"V3","25 - 29",3,1,23,2,29
"V4","30 - 34",5,3,47,2,57
"V5","35 - 39",3,5,51,8,67
"V6","40 - 44",8,9,77,8,102
"V7","45 - 49",21,17,184,22,244
"V8","50 - 54",26,43,280,32,381
"V9","55 - 59",30,71,366,85,552
"V10","60 - 64",42,114,412,131,699
"V11","65 - 69",51,106,398,222,777
"V12","70 - 74",39,149,372,301,861
"V13","75 - 79",27,72,198,240,537
"V14","80 - 84",15,32,35,79,161
"V15","85 - 89",1,0,5,18,24
"V16",">90",1,0,0,1,2
