"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1003,5,1041,2021-04-17
"20 - 24",10,330,1,341,2021-04-17
"25 - 29",18,581,2,601,2021-04-17
"30 - 34",25,829,9,863,2021-04-17
"35 - 39",25,975,9,1009,2021-04-17
"40 - 44",53,1269,10,1332,2021-04-17
"45 - 49",78,2108,23,2209,2021-04-17
"50 - 54",116,3363,64,3543,2021-04-17
"55 - 59",165,4172,107,4444,2021-04-17
"60 - 64",166,4458,208,4832,2021-04-17
"65 - 69",216,4269,429,4914,2021-04-17
"70 - 74",245,5286,912,6443,2021-04-17
"75 - 79",248,5026,1538,6812,2021-04-17
"80 - 84",132,4166,1802,6100,2021-04-17
"85 - 89",62,2595,1373,4030,2021-04-17
">90",19,1113,570,1702,2021-04-17
