"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,980,5,1021,2021-04-11
"20 - 24",10,325,1,336,2021-04-11
"25 - 29",15,560,2,577,2021-04-11
"30 - 34",32,799,7,838,2021-04-11
"35 - 39",43,925,9,977,2021-04-11
"40 - 44",44,1225,10,1279,2021-04-11
"45 - 49",76,2035,24,2135,2021-04-11
"50 - 54",121,3261,63,3445,2021-04-11
"55 - 59",168,4025,105,4298,2021-04-11
"60 - 64",168,4351,205,4724,2021-04-11
"65 - 69",207,4143,425,4775,2021-04-11
"70 - 74",246,5146,884,6276,2021-04-11
"75 - 79",250,4894,1498,6642,2021-04-11
"80 - 84",158,4106,1768,6032,2021-04-11
"85 - 89",81,2559,1359,3999,2021-04-11
">90",27,1102,562,1691,2021-04-11
