"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,813,4,839,2021-02-01
"20 - 24",6,255,0,261,2021-02-01
"25 - 29",13,441,3,457,2021-02-01
"30 - 34",11,588,3,602,2021-02-01
"35 - 39",29,683,9,721,2021-02-01
"40 - 44",29,896,9,934,2021-02-01
"45 - 49",51,1489,20,1560,2021-02-01
"50 - 54",92,2376,51,2519,2021-02-01
"55 - 59",111,2944,71,3126,2021-02-01
"60 - 64",171,3226,150,3547,2021-02-01
"65 - 69",168,3146,319,3633,2021-02-01
"70 - 74",248,3885,665,4798,2021-02-01
"75 - 79",270,3750,1113,5133,2021-02-01
"80 - 84",255,3170,1391,4816,2021-02-01
"85 - 89",163,2005,1087,3255,2021-02-01
">90",80,862,426,1368,2021-02-01
