"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,501,2,531,2020-11-07
"20 - 24",6,148,0,154,2020-11-07
"25 - 29",12,286,1,299,2020-11-07
"30 - 34",16,349,3,368,2020-11-07
"35 - 39",23,424,6,453,2020-11-07
"40 - 44",44,538,3,585,2020-11-07
"45 - 49",49,910,14,973,2020-11-07
"50 - 54",80,1400,34,1514,2020-11-07
"55 - 59",112,1639,45,1796,2020-11-07
"60 - 64",151,1786,85,2022,2020-11-07
"65 - 69",176,1702,163,2041,2020-11-07
"70 - 74",215,2116,372,2703,2020-11-07
"75 - 79",280,1967,603,2850,2020-11-07
"80 - 84",263,1580,739,2582,2020-11-07
"85 - 89",173,986,570,1729,2020-11-07
">90",64,413,204,681,2020-11-07
