"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,920,4,966,2021-03-30
"20 - 24",7,309,1,317,2021-03-30
"25 - 29",20,530,2,552,2021-03-30
"30 - 34",31,748,6,785,2021-03-30
"35 - 39",29,870,9,908,2021-03-30
"40 - 44",55,1145,10,1210,2021-03-30
"45 - 49",78,1913,21,2012,2021-03-30
"50 - 54",136,3042,62,3240,2021-03-30
"55 - 59",145,3807,95,4047,2021-03-30
"60 - 64",189,4103,193,4485,2021-03-30
"65 - 69",184,3931,408,4523,2021-03-30
"70 - 74",273,4853,848,5974,2021-03-30
"75 - 79",262,4671,1420,6353,2021-03-30
"80 - 84",174,3973,1712,5859,2021-03-30
"85 - 89",98,2500,1319,3917,2021-03-30
">90",39,1069,547,1655,2021-03-30
