"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1005,5,1046,2021-04-18
"20 - 24",10,330,1,341,2021-04-18
"25 - 29",24,581,2,607,2021-04-18
"30 - 34",24,834,9,867,2021-04-18
"35 - 39",23,976,9,1008,2021-04-18
"40 - 44",57,1273,10,1340,2021-04-18
"45 - 49",82,2116,23,2221,2021-04-18
"50 - 54",123,3371,64,3558,2021-04-18
"55 - 59",168,4182,108,4458,2021-04-18
"60 - 64",165,4473,208,4846,2021-04-18
"65 - 69",215,4285,430,4930,2021-04-18
"70 - 74",238,5295,913,6446,2021-04-18
"75 - 79",247,5037,1538,6822,2021-04-18
"80 - 84",124,4175,1803,6102,2021-04-18
"85 - 89",61,2597,1373,4031,2021-04-18
">90",21,1113,570,1704,2021-04-18
