"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,961,5,1005,2021-04-07
"20 - 24",5,320,1,326,2021-04-07
"25 - 29",16,552,2,570,2021-04-07
"30 - 34",28,781,7,816,2021-04-07
"35 - 39",35,907,9,951,2021-04-07
"40 - 44",50,1194,10,1254,2021-04-07
"45 - 49",86,1994,21,2101,2021-04-07
"50 - 54",129,3187,63,3379,2021-04-07
"55 - 59",158,3948,102,4208,2021-04-07
"60 - 64",191,4272,202,4665,2021-04-07
"65 - 69",195,4060,418,4673,2021-04-07
"70 - 74",258,5042,876,6176,2021-04-07
"75 - 79",254,4818,1479,6551,2021-04-07
"80 - 84",189,4054,1753,5996,2021-04-07
"85 - 89",79,2539,1351,3969,2021-04-07
">90",33,1095,557,1685,2021-04-07
