"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",17,815,4,836,2021-02-24
"20 - 24",9,271,0,280,2021-02-24
"25 - 29",13,466,2,481,2021-02-24
"30 - 34",13,634,5,652,2021-02-24
"35 - 39",23,737,8,768,2021-02-24
"40 - 44",34,977,8,1019,2021-02-24
"45 - 49",63,1618,20,1701,2021-02-24
"50 - 54",77,2612,57,2746,2021-02-24
"55 - 59",107,3264,82,3453,2021-02-24
"60 - 64",114,3581,172,3867,2021-02-24
"65 - 69",134,3454,363,3951,2021-02-24
"70 - 74",228,4260,747,5235,2021-02-24
"75 - 79",215,4154,1245,5614,2021-02-24
"80 - 84",210,3537,1542,5289,2021-02-24
"85 - 89",147,2237,1215,3599,2021-02-24
">90",56,975,496,1527,2021-02-24
