"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,770,4,794,2021-02-11
"20 - 24",6,254,0,260,2021-02-11
"25 - 29",9,454,2,465,2021-02-11
"30 - 34",16,608,4,628,2021-02-11
"35 - 39",22,712,8,742,2021-02-11
"40 - 44",34,924,8,966,2021-02-11
"45 - 49",52,1541,20,1613,2021-02-11
"50 - 54",75,2476,52,2603,2021-02-11
"55 - 59",106,3082,77,3265,2021-02-11
"60 - 64",137,3385,160,3682,2021-02-11
"65 - 69",153,3281,334,3768,2021-02-11
"70 - 74",207,4046,702,4955,2021-02-11
"75 - 79",245,3924,1170,5339,2021-02-11
"80 - 84",205,3332,1456,4993,2021-02-11
"85 - 89",141,2118,1144,3403,2021-02-11
">90",78,910,459,1447,2021-02-11
