"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,838,4,868,2021-03-08
"20 - 24",5,283,0,288,2021-03-08
"25 - 29",10,482,2,494,2021-03-08
"30 - 34",22,666,5,693,2021-03-08
"35 - 39",30,773,8,811,2021-03-08
"40 - 44",32,1034,8,1074,2021-03-08
"45 - 49",45,1715,21,1781,2021-03-08
"50 - 54",88,2738,57,2883,2021-03-08
"55 - 59",102,3422,89,3613,2021-03-08
"60 - 64",137,3715,181,4033,2021-03-08
"65 - 69",140,3587,382,4109,2021-03-08
"70 - 74",216,4447,781,5444,2021-03-08
"75 - 79",223,4304,1298,5825,2021-03-08
"80 - 84",186,3703,1610,5499,2021-03-08
"85 - 89",104,2344,1269,3717,2021-03-08
">90",38,1014,513,1565,2021-03-08
