"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",50,714,3,767,2021-01-02
"20 - 24",11,221,0,232,2021-01-02
"25 - 29",12,387,3,402,2021-01-02
"30 - 34",18,512,3,533,2021-01-02
"35 - 39",32,600,9,641,2021-01-02
"40 - 44",44,776,4,824,2021-01-02
"45 - 49",58,1287,19,1364,2021-01-02
"50 - 54",117,2011,46,2174,2021-01-02
"55 - 59",137,2456,62,2655,2021-01-02
"60 - 64",194,2676,124,2994,2021-01-02
"65 - 69",199,2646,254,3099,2021-01-02
"70 - 74",324,3196,535,4055,2021-01-02
"75 - 79",354,3095,908,4357,2021-01-02
"80 - 84",346,2572,1109,4027,2021-01-02
"85 - 89",213,1635,879,2727,2021-01-02
">90",78,705,331,1114,2021-01-02
