"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,791,4,824,2021-01-26
"20 - 24",5,251,0,256,2021-01-26
"25 - 29",15,427,3,445,2021-01-26
"30 - 34",22,572,3,597,2021-01-26
"35 - 39",24,669,9,702,2021-01-26
"40 - 44",29,876,9,914,2021-01-26
"45 - 49",48,1455,19,1522,2021-01-26
"50 - 54",93,2332,50,2475,2021-01-26
"55 - 59",127,2867,70,3064,2021-01-26
"60 - 64",170,3133,144,3447,2021-01-26
"65 - 69",183,3058,304,3545,2021-01-26
"70 - 74",277,3755,648,4680,2021-01-26
"75 - 79",256,3648,1083,4987,2021-01-26
"80 - 84",262,3079,1348,4689,2021-01-26
"85 - 89",163,1949,1058,3170,2021-01-26
">90",84,826,418,1328,2021-01-26
