"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1029,5,1065,2021-04-22
"20 - 24",12,340,1,353,2021-04-22
"25 - 29",26,601,2,629,2021-04-22
"30 - 34",23,858,9,890,2021-04-22
"35 - 39",40,996,9,1045,2021-04-22
"40 - 44",49,1314,10,1373,2021-04-22
"45 - 49",84,2181,23,2288,2021-04-22
"50 - 54",134,3447,65,3646,2021-04-22
"55 - 59",179,4283,109,4571,2021-04-22
"60 - 64",180,4561,209,4950,2021-04-22
"65 - 69",232,4393,437,5062,2021-04-22
"70 - 74",279,5401,927,6607,2021-04-22
"75 - 79",274,5122,1564,6960,2021-04-22
"80 - 84",122,4211,1817,6150,2021-04-22
"85 - 89",58,2611,1385,4054,2021-04-22
">90",31,1120,571,1722,2021-04-22
