"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,990,5,1034,2021-04-13
"20 - 24",6,328,1,335,2021-04-13
"25 - 29",14,571,2,587,2021-04-13
"30 - 34",29,812,8,849,2021-04-13
"35 - 39",41,944,9,994,2021-04-13
"40 - 44",48,1240,10,1298,2021-04-13
"45 - 49",81,2064,23,2168,2021-04-13
"50 - 54",119,3300,63,3482,2021-04-13
"55 - 59",166,4087,105,4358,2021-04-13
"60 - 64",168,4393,206,4767,2021-04-13
"65 - 69",209,4186,426,4821,2021-04-13
"70 - 74",238,5205,899,6342,2021-04-13
"75 - 79",265,4939,1510,6714,2021-04-13
"80 - 84",149,4132,1782,6063,2021-04-13
"85 - 89",88,2572,1366,4026,2021-04-13
">90",27,1104,565,1696,2021-04-13
