"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,486,2,523,2020-11-04
"20 - 24",10,141,0,151,2020-11-04
"25 - 29",10,279,1,290,2020-11-04
"30 - 34",21,337,3,361,2020-11-04
"35 - 39",23,416,6,445,2020-11-04
"40 - 44",45,520,3,568,2020-11-04
"45 - 49",46,880,14,940,2020-11-04
"50 - 54",117,1334,34,1485,2020-11-04
"55 - 59",127,1576,44,1747,2020-11-04
"60 - 64",174,1718,84,1976,2020-11-04
"65 - 69",213,1623,161,1997,2020-11-04
"70 - 74",269,2008,364,2641,2020-11-04
"75 - 79",298,1866,595,2759,2020-11-04
"80 - 84",298,1485,711,2494,2020-11-04
"85 - 89",185,945,546,1676,2020-11-04
">90",71,394,197,662,2020-11-04
