"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,575,3,611,2020-11-23
"20 - 24",6,171,0,177,2020-11-23
"25 - 29",8,320,1,329,2020-11-23
"30 - 34",23,396,3,422,2020-11-23
"35 - 39",22,470,7,499,2020-11-23
"40 - 44",30,623,3,656,2020-11-23
"45 - 49",41,1011,14,1066,2020-11-23
"50 - 54",98,1564,36,1698,2020-11-23
"55 - 59",116,1873,47,2036,2020-11-23
"60 - 64",155,2059,95,2309,2020-11-23
"65 - 69",171,2001,186,2358,2020-11-23
"70 - 74",202,2414,409,3025,2020-11-23
"75 - 79",259,2292,678,3229,2020-11-23
"80 - 84",221,1880,863,2964,2020-11-23
"85 - 89",133,1179,648,1960,2020-11-23
">90",42,494,238,774,2020-11-23
