"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1267,6,1306,2021-06-28
"20 - 24",2,426,3,431,2021-06-28
"25 - 29",12,723,2,737,2021-06-28
"30 - 34",6,1079,10,1095,2021-06-28
"35 - 39",6,1271,11,1288,2021-06-28
"40 - 44",10,1621,12,1643,2021-06-28
"45 - 49",11,2762,25,2798,2021-06-28
"50 - 54",31,4328,73,4432,2021-06-28
"55 - 59",30,5316,128,5474,2021-06-28
"60 - 64",32,5321,239,5592,2021-06-28
"65 - 69",26,5283,499,5808,2021-06-28
"70 - 74",48,6225,1056,7329,2021-06-28
"75 - 79",45,5833,1721,7599,2021-06-28
"80 - 84",32,4539,1954,6525,2021-06-28
"85 - 89",19,2782,1441,4242,2021-06-28
">90",7,1217,601,1825,2021-06-28
