"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,756,4,780,2021-02-06
"20 - 24",3,253,0,256,2021-02-06
"25 - 29",13,443,2,458,2021-02-06
"30 - 34",17,594,3,614,2021-02-06
"35 - 39",29,691,8,728,2021-02-06
"40 - 44",20,909,8,937,2021-02-06
"45 - 49",47,1508,20,1575,2021-02-06
"50 - 54",91,2422,50,2563,2021-02-06
"55 - 59",122,2993,74,3189,2021-02-06
"60 - 64",150,3306,155,3611,2021-02-06
"65 - 69",148,3201,329,3678,2021-02-06
"70 - 74",203,3963,680,4846,2021-02-06
"75 - 79",260,3821,1136,5217,2021-02-06
"80 - 84",215,3243,1427,4885,2021-02-06
"85 - 89",136,2063,1111,3310,2021-02-06
">90",77,883,447,1407,2021-02-06
