"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,995,5,1036,2021-04-14
"20 - 24",6,328,1,335,2021-04-14
"25 - 29",15,573,2,590,2021-04-14
"30 - 34",28,817,8,853,2021-04-14
"35 - 39",40,950,9,999,2021-04-14
"40 - 44",50,1246,10,1306,2021-04-14
"45 - 49",80,2076,23,2179,2021-04-14
"50 - 54",110,3316,63,3489,2021-04-14
"55 - 59",166,4104,105,4375,2021-04-14
"60 - 64",169,4407,207,4783,2021-04-14
"65 - 69",198,4209,426,4833,2021-04-14
"70 - 74",233,5225,903,6361,2021-04-14
"75 - 79",238,4982,1520,6740,2021-04-14
"80 - 84",140,4141,1787,6068,2021-04-14
"85 - 89",80,2580,1367,4027,2021-04-14
">90",20,1108,567,1695,2021-04-14
