"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,812,4,840,2021-02-27
"20 - 24",10,275,0,285,2021-02-27
"25 - 29",12,473,2,487,2021-02-27
"30 - 34",16,644,5,665,2021-02-27
"35 - 39",19,746,8,773,2021-02-27
"40 - 44",38,994,8,1040,2021-02-27
"45 - 49",55,1639,21,1715,2021-02-27
"50 - 54",80,2640,57,2777,2021-02-27
"55 - 59",111,3301,82,3494,2021-02-27
"60 - 64",102,3620,173,3895,2021-02-27
"65 - 69",151,3487,367,4005,2021-02-27
"70 - 74",199,4314,752,5265,2021-02-27
"75 - 79",188,4204,1257,5649,2021-02-27
"80 - 84",205,3581,1557,5343,2021-02-27
"85 - 89",117,2266,1235,3618,2021-02-27
">90",49,985,502,1536,2021-02-27
