"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1277,6,1312,2021-07-05
"20 - 24",1,428,3,432,2021-07-05
"25 - 29",7,725,2,734,2021-07-05
"30 - 34",4,1081,10,1095,2021-07-05
"35 - 39",7,1274,11,1292,2021-07-05
"40 - 44",11,1624,12,1647,2021-07-05
"45 - 49",10,2767,25,2802,2021-07-05
"50 - 54",34,4334,73,4441,2021-07-05
"55 - 59",24,5327,128,5479,2021-07-05
"60 - 64",21,5334,239,5594,2021-07-05
"65 - 69",23,5289,500,5812,2021-07-05
"70 - 74",39,6232,1056,7327,2021-07-05
"75 - 79",27,5844,1723,7594,2021-07-05
"80 - 84",26,4548,1957,6531,2021-07-05
"85 - 89",22,2783,1442,4247,2021-07-05
">90",7,1218,602,1827,2021-07-05
