"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",18,771,4,793,2021-02-12
"20 - 24",7,255,0,262,2021-02-12
"25 - 29",8,454,2,464,2021-02-12
"30 - 34",19,609,4,632,2021-02-12
"35 - 39",17,715,8,740,2021-02-12
"40 - 44",35,926,8,969,2021-02-12
"45 - 49",45,1549,20,1614,2021-02-12
"50 - 54",80,2487,53,2620,2021-02-12
"55 - 59",101,3095,78,3274,2021-02-12
"60 - 64",142,3396,160,3698,2021-02-12
"65 - 69",150,3295,334,3779,2021-02-12
"70 - 74",206,4060,704,4970,2021-02-12
"75 - 79",239,3944,1172,5355,2021-02-12
"80 - 84",200,3341,1461,5002,2021-02-12
"85 - 89",133,2128,1150,3411,2021-02-12
">90",68,916,464,1448,2021-02-12
