"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,752,4,776,2021-01-10
"20 - 24",3,235,0,238,2021-01-10
"25 - 29",15,395,3,413,2021-01-10
"30 - 34",16,531,4,551,2021-01-10
"35 - 39",33,630,9,672,2021-01-10
"40 - 44",32,824,5,861,2021-01-10
"45 - 49",58,1347,19,1424,2021-01-10
"50 - 54",94,2134,47,2275,2021-01-10
"55 - 59",117,2610,64,2791,2021-01-10
"60 - 64",154,2833,131,3118,2021-01-10
"65 - 69",186,2793,272,3251,2021-01-10
"70 - 74",274,3410,580,4264,2021-01-10
"75 - 79",301,3317,969,4587,2021-01-10
"80 - 84",297,2763,1192,4252,2021-01-10
"85 - 89",191,1745,951,2887,2021-01-10
">90",78,747,356,1181,2021-01-10
