"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1104,5,1144,2021-05-09
"20 - 24",8,369,1,378,2021-05-09
"25 - 29",18,644,2,664,2021-05-09
"30 - 34",33,947,9,989,2021-05-09
"35 - 39",43,1100,10,1153,2021-05-09
"40 - 44",53,1424,11,1488,2021-05-09
"45 - 49",74,2414,24,2512,2021-05-09
"50 - 54",134,3768,69,3971,2021-05-09
"55 - 59",183,4696,118,4997,2021-05-09
"60 - 64",156,4885,217,5258,2021-05-09
"65 - 69",211,4778,468,5457,2021-05-09
"70 - 74",243,5785,980,7008,2021-05-09
"75 - 79",222,5471,1646,7339,2021-05-09
"80 - 84",126,4345,1876,6347,2021-05-09
"85 - 89",64,2667,1408,4139,2021-05-09
">90",33,1153,583,1769,2021-05-09
