"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,897,4,930,2021-03-23
"20 - 24",10,295,1,306,2021-03-23
"25 - 29",20,506,2,528,2021-03-23
"30 - 34",14,724,6,744,2021-03-23
"35 - 39",32,826,8,866,2021-03-23
"40 - 44",55,1093,9,1157,2021-03-23
"45 - 49",77,1834,21,1932,2021-03-23
"50 - 54",123,2925,59,3107,2021-03-23
"55 - 59",139,3653,95,3887,2021-03-23
"60 - 64",174,3943,189,4306,2021-03-23
"65 - 69",170,3820,401,4391,2021-03-23
"70 - 74",226,4708,829,5763,2021-03-23
"75 - 79",247,4546,1379,6172,2021-03-23
"80 - 84",177,3886,1675,5738,2021-03-23
"85 - 89",95,2450,1308,3853,2021-03-23
">90",39,1050,533,1622,2021-03-23
