"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,551,2,594,2020-11-18
"20 - 24",8,164,0,172,2020-11-18
"25 - 29",15,309,1,325,2020-11-18
"30 - 34",26,377,3,406,2020-11-18
"35 - 39",21,458,7,486,2020-11-18
"40 - 44",40,599,3,642,2020-11-18
"45 - 49",47,980,14,1041,2020-11-18
"50 - 54",87,1514,36,1637,2020-11-18
"55 - 59",121,1812,46,1979,2020-11-18
"60 - 64",166,1975,92,2233,2020-11-18
"65 - 69",178,1909,182,2269,2020-11-18
"70 - 74",216,2332,397,2945,2020-11-18
"75 - 79",245,2204,662,3111,2020-11-18
"80 - 84",251,1796,830,2877,2020-11-18
"85 - 89",155,1122,632,1909,2020-11-18
">90",51,475,227,753,2020-11-18
