"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1063,5,1105,2021-04-29
"20 - 24",7,354,1,362,2021-04-29
"25 - 29",15,617,2,634,2021-04-29
"30 - 34",23,890,9,922,2021-04-29
"35 - 39",49,1027,9,1085,2021-04-29
"40 - 44",38,1365,11,1414,2021-04-29
"45 - 49",94,2271,24,2389,2021-04-29
"50 - 54",123,3582,66,3771,2021-04-29
"55 - 59",170,4459,114,4743,2021-04-29
"60 - 64",211,4668,215,5094,2021-04-29
"65 - 69",241,4544,448,5233,2021-04-29
"70 - 74",271,5577,949,6797,2021-04-29
"75 - 79",274,5280,1600,7154,2021-04-29
"80 - 84",134,4283,1839,6256,2021-04-29
"85 - 89",62,2638,1396,4096,2021-04-29
">90",31,1139,575,1745,2021-04-29
