"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",44,925,5,974,2021-03-31
"20 - 24",8,310,1,319,2021-03-31
"25 - 29",20,533,2,555,2021-03-31
"30 - 34",29,751,6,786,2021-03-31
"35 - 39",27,876,9,912,2021-03-31
"40 - 44",52,1151,10,1213,2021-03-31
"45 - 49",83,1920,21,2024,2021-03-31
"50 - 54",124,3063,62,3249,2021-03-31
"55 - 59",141,3826,95,4062,2021-03-31
"60 - 64",193,4128,194,4515,2021-03-31
"65 - 69",176,3948,409,4533,2021-03-31
"70 - 74",262,4882,850,5994,2021-03-31
"75 - 79",255,4691,1429,6375,2021-03-31
"80 - 84",172,3986,1717,5875,2021-03-31
"85 - 89",96,2504,1322,3922,2021-03-31
">90",38,1072,548,1658,2021-03-31
