"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,874,4,905,2021-03-15
"20 - 24",7,288,1,296,2021-03-15
"25 - 29",19,485,2,506,2021-03-15
"30 - 34",22,695,5,722,2021-03-15
"35 - 39",22,796,8,826,2021-03-15
"40 - 44",29,1062,8,1099,2021-03-15
"45 - 49",62,1755,21,1838,2021-03-15
"50 - 54",96,2809,58,2963,2021-03-15
"55 - 59",124,3524,92,3740,2021-03-15
"60 - 64",143,3815,184,4142,2021-03-15
"65 - 69",174,3677,389,4240,2021-03-15
"70 - 74",224,4559,798,5581,2021-03-15
"75 - 79",221,4411,1335,5967,2021-03-15
"80 - 84",181,3782,1642,5605,2021-03-15
"85 - 89",96,2389,1292,3777,2021-03-15
">90",42,1030,519,1591,2021-03-15
