"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1034,5,1075,2021-04-24
"20 - 24",9,348,1,358,2021-04-24
"25 - 29",21,607,2,630,2021-04-24
"30 - 34",23,864,9,896,2021-04-24
"35 - 39",40,1007,9,1056,2021-04-24
"40 - 44",50,1324,10,1384,2021-04-24
"45 - 49",82,2209,23,2314,2021-04-24
"50 - 54",119,3486,65,3670,2021-04-24
"55 - 59",187,4336,111,4634,2021-04-24
"60 - 64",164,4590,209,4963,2021-04-24
"65 - 69",227,4438,441,5106,2021-04-24
"70 - 74",282,5444,931,6657,2021-04-24
"75 - 79",258,5174,1572,7004,2021-04-24
"80 - 84",126,4228,1826,6180,2021-04-24
"85 - 89",53,2620,1388,4061,2021-04-24
">90",29,1124,571,1724,2021-04-24
