"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1192,6,1236,2021-05-30
"20 - 24",8,407,3,418,2021-05-30
"25 - 29",17,693,2,712,2021-05-30
"30 - 34",22,1029,10,1061,2021-05-30
"35 - 39",20,1201,11,1232,2021-05-30
"40 - 44",22,1549,12,1583,2021-05-30
"45 - 49",57,2639,24,2720,2021-05-30
"50 - 54",85,4155,72,4312,2021-05-30
"55 - 59",88,5123,126,5337,2021-05-30
"60 - 64",72,5192,232,5496,2021-05-30
"65 - 69",84,5164,492,5740,2021-05-30
"70 - 74",103,6119,1033,7255,2021-05-30
"75 - 79",113,5728,1697,7538,2021-05-30
"80 - 84",83,4473,1923,6479,2021-05-30
"85 - 89",41,2732,1427,4200,2021-05-30
">90",28,1192,596,1816,2021-05-30
