"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,748,4,774,2021-01-09
"20 - 24",4,234,0,238,2021-01-09
"25 - 29",16,393,3,412,2021-01-09
"30 - 34",13,529,4,546,2021-01-09
"35 - 39",35,628,9,672,2021-01-09
"40 - 44",36,820,5,861,2021-01-09
"45 - 49",51,1343,19,1413,2021-01-09
"50 - 54",93,2125,47,2265,2021-01-09
"55 - 59",131,2600,63,2794,2021-01-09
"60 - 64",153,2823,130,3106,2021-01-09
"65 - 69",190,2784,269,3243,2021-01-09
"70 - 74",274,3397,577,4248,2021-01-09
"75 - 79",301,3307,964,4572,2021-01-09
"80 - 84",301,2755,1183,4239,2021-01-09
"85 - 89",188,1736,943,2867,2021-01-09
">90",75,746,354,1175,2021-01-09
