"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,811,4,838,2021-01-31
"20 - 24",6,254,0,260,2021-01-31
"25 - 29",9,438,3,450,2021-01-31
"30 - 34",9,587,3,599,2021-01-31
"35 - 39",26,683,9,718,2021-01-31
"40 - 44",27,894,9,930,2021-01-31
"45 - 49",52,1484,19,1555,2021-01-31
"50 - 54",83,2372,51,2506,2021-01-31
"55 - 59",112,2931,70,3113,2021-01-31
"60 - 64",168,3210,149,3527,2021-01-31
"65 - 69",165,3129,317,3611,2021-01-31
"70 - 74",248,3863,661,4772,2021-01-31
"75 - 79",269,3736,1102,5107,2021-01-31
"80 - 84",241,3160,1386,4787,2021-01-31
"85 - 89",156,2000,1078,3234,2021-01-31
">90",69,857,425,1351,2021-01-31
