"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,829,4,857,2021-03-06
"20 - 24",6,283,0,289,2021-03-06
"25 - 29",12,480,2,494,2021-03-06
"30 - 34",22,661,5,688,2021-03-06
"35 - 39",26,766,8,800,2021-03-06
"40 - 44",36,1026,8,1070,2021-03-06
"45 - 49",46,1699,21,1766,2021-03-06
"50 - 54",87,2725,57,2869,2021-03-06
"55 - 59",107,3395,87,3589,2021-03-06
"60 - 64",128,3697,180,4005,2021-03-06
"65 - 69",140,3569,378,4087,2021-03-06
"70 - 74",187,4427,774,5388,2021-03-06
"75 - 79",215,4282,1291,5788,2021-03-06
"80 - 84",174,3687,1601,5462,2021-03-06
"85 - 89",94,2329,1266,3689,2021-03-06
">90",34,1011,512,1557,2021-03-06
