"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1086,5,1128,2021-05-06
"20 - 24",11,361,1,373,2021-05-06
"25 - 29",21,636,2,659,2021-05-06
"30 - 34",32,930,9,971,2021-05-06
"35 - 39",48,1078,9,1135,2021-05-06
"40 - 44",53,1407,11,1471,2021-05-06
"45 - 49",88,2377,24,2489,2021-05-06
"50 - 54",138,3710,68,3916,2021-05-06
"55 - 59",174,4628,118,4920,2021-05-06
"60 - 64",174,4833,216,5223,2021-05-06
"65 - 69",213,4709,464,5386,2021-05-06
"70 - 74",246,5736,974,6956,2021-05-06
"75 - 79",248,5416,1640,7304,2021-05-06
"80 - 84",131,4327,1864,6322,2021-05-06
"85 - 89",65,2659,1403,4127,2021-05-06
">90",27,1150,583,1760,2021-05-06
