"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1083,5,1127,2021-05-05
"20 - 24",10,359,1,370,2021-05-05
"25 - 29",17,633,2,652,2021-05-05
"30 - 34",37,923,9,969,2021-05-05
"35 - 39",48,1070,9,1127,2021-05-05
"40 - 44",53,1400,11,1464,2021-05-05
"45 - 49",87,2368,24,2479,2021-05-05
"50 - 54",147,3694,68,3909,2021-05-05
"55 - 59",173,4613,118,4904,2021-05-05
"60 - 64",174,4817,216,5207,2021-05-05
"65 - 69",226,4687,461,5374,2021-05-05
"70 - 74",251,5719,972,6942,2021-05-05
"75 - 79",256,5392,1632,7280,2021-05-05
"80 - 84",135,4320,1860,6315,2021-05-05
"85 - 89",63,2654,1403,4120,2021-05-05
">90",28,1148,582,1758,2021-05-05
