"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,749,4,774,2021-02-04
"20 - 24",4,252,0,256,2021-02-04
"25 - 29",11,441,2,454,2021-02-04
"30 - 34",16,587,3,606,2021-02-04
"35 - 39",28,685,8,721,2021-02-04
"40 - 44",24,899,8,931,2021-02-04
"45 - 49",47,1500,20,1567,2021-02-04
"50 - 54",90,2401,49,2540,2021-02-04
"55 - 59",117,2967,73,3157,2021-02-04
"60 - 64",147,3282,153,3582,2021-02-04
"65 - 69",155,3171,326,3652,2021-02-04
"70 - 74",219,3930,669,4818,2021-02-04
"75 - 79",252,3787,1124,5163,2021-02-04
"80 - 84",248,3206,1410,4864,2021-02-04
"85 - 89",152,2033,1102,3287,2021-02-04
">90",77,872,442,1391,2021-02-04
