"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1038,5,1082,2021-04-25
"20 - 24",7,349,1,357,2021-04-25
"25 - 29",22,607,2,631,2021-04-25
"30 - 34",27,867,9,903,2021-04-25
"35 - 39",41,1008,9,1058,2021-04-25
"40 - 44",44,1331,10,1385,2021-04-25
"45 - 49",83,2213,23,2319,2021-04-25
"50 - 54",111,3496,66,3673,2021-04-25
"55 - 59",181,4351,111,4643,2021-04-25
"60 - 64",161,4595,210,4966,2021-04-25
"65 - 69",219,4449,441,5109,2021-04-25
"70 - 74",274,5454,933,6661,2021-04-25
"75 - 79",269,5174,1572,7015,2021-04-25
"80 - 84",119,4233,1827,6179,2021-04-25
"85 - 89",54,2621,1388,4063,2021-04-25
">90",30,1125,571,1726,2021-04-25
