"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,811,4,836,2021-02-26
"20 - 24",6,274,0,280,2021-02-26
"25 - 29",15,471,2,488,2021-02-26
"30 - 34",18,641,5,664,2021-02-26
"35 - 39",20,742,8,770,2021-02-26
"40 - 44",37,990,8,1035,2021-02-26
"45 - 49",49,1635,20,1704,2021-02-26
"50 - 54",76,2634,57,2767,2021-02-26
"55 - 59",109,3292,82,3483,2021-02-26
"60 - 64",114,3608,172,3894,2021-02-26
"65 - 69",141,3478,366,3985,2021-02-26
"70 - 74",212,4298,750,5260,2021-02-26
"75 - 79",193,4193,1255,5641,2021-02-26
"80 - 84",214,3567,1553,5334,2021-02-26
"85 - 89",123,2259,1230,3612,2021-02-26
">90",48,984,501,1533,2021-02-26
