"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",52,717,3,772,2021-01-03
"20 - 24",14,221,0,235,2021-01-03
"25 - 29",11,387,3,401,2021-01-03
"30 - 34",22,513,3,538,2021-01-03
"35 - 39",29,603,9,641,2021-01-03
"40 - 44",38,785,4,827,2021-01-03
"45 - 49",60,1293,19,1372,2021-01-03
"50 - 54",116,2026,46,2188,2021-01-03
"55 - 59",143,2467,63,2673,2021-01-03
"60 - 64",194,2694,125,3013,2021-01-03
"65 - 69",198,2656,258,3112,2021-01-03
"70 - 74",338,3212,537,4087,2021-01-03
"75 - 79",348,3123,914,4385,2021-01-03
"80 - 84",361,2579,1115,4055,2021-01-03
"85 - 89",208,1647,887,2742,2021-01-03
">90",79,711,336,1126,2021-01-03
