"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,762,4,793,2021-01-14
"20 - 24",6,239,0,245,2021-01-14
"25 - 29",18,406,3,427,2021-01-14
"30 - 34",25,541,3,569,2021-01-14
"35 - 39",23,648,9,680,2021-01-14
"40 - 44",23,842,5,870,2021-01-14
"45 - 49",52,1384,19,1455,2021-01-14
"50 - 54",92,2194,49,2335,2021-01-14
"55 - 59",109,2692,66,2867,2021-01-14
"60 - 64",170,2922,135,3227,2021-01-14
"65 - 69",170,2906,283,3359,2021-01-14
"70 - 74",295,3514,597,4406,2021-01-14
"75 - 79",308,3422,996,4726,2021-01-14
"80 - 84",302,2847,1234,4383,2021-01-14
"85 - 89",166,1819,983,2968,2021-01-14
">90",90,770,374,1234,2021-01-14
