"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,875,4,908,2021-03-16
"20 - 24",6,289,1,296,2021-03-16
"25 - 29",20,487,2,509,2021-03-16
"30 - 34",19,698,5,722,2021-03-16
"35 - 39",29,801,8,838,2021-03-16
"40 - 44",33,1066,8,1107,2021-03-16
"45 - 49",55,1769,21,1845,2021-03-16
"50 - 54",95,2828,58,2981,2021-03-16
"55 - 59",126,3538,92,3756,2021-03-16
"60 - 64",149,3831,185,4165,2021-03-16
"65 - 69",173,3697,389,4259,2021-03-16
"70 - 74",222,4579,802,5603,2021-03-16
"75 - 79",207,4430,1342,5979,2021-03-16
"80 - 84",186,3791,1643,5620,2021-03-16
"85 - 89",102,2395,1294,3791,2021-03-16
">90",48,1031,521,1600,2021-03-16
