"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,1185,6,1234,2021-05-28
"20 - 24",6,406,3,415,2021-05-28
"25 - 29",17,690,2,709,2021-05-28
"30 - 34",24,1025,10,1059,2021-05-28
"35 - 39",16,1201,11,1228,2021-05-28
"40 - 44",25,1545,12,1582,2021-05-28
"45 - 49",61,2633,24,2718,2021-05-28
"50 - 54",93,4137,72,4302,2021-05-28
"55 - 59",111,5099,126,5336,2021-05-28
"60 - 64",79,5180,232,5491,2021-05-28
"65 - 69",93,5154,491,5738,2021-05-28
"70 - 74",110,6110,1030,7250,2021-05-28
"75 - 79",122,5714,1696,7532,2021-05-28
"80 - 84",87,4459,1922,6468,2021-05-28
"85 - 89",39,2733,1426,4198,2021-05-28
">90",23,1191,595,1809,2021-05-28
