"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1045,5,1090,2021-04-26
"20 - 24",7,351,1,359,2021-04-26
"25 - 29",19,612,2,633,2021-04-26
"30 - 34",36,874,9,919,2021-04-26
"35 - 39",47,1012,9,1068,2021-04-26
"40 - 44",48,1337,10,1395,2021-04-26
"45 - 49",82,2233,24,2339,2021-04-26
"50 - 54",113,3518,66,3697,2021-04-26
"55 - 59",183,4382,111,4676,2021-04-26
"60 - 64",181,4611,213,5005,2021-04-26
"65 - 69",232,4473,443,5148,2021-04-26
"70 - 74",276,5495,936,6707,2021-04-26
"75 - 79",275,5206,1583,7064,2021-04-26
"80 - 84",133,4249,1831,6213,2021-04-26
"85 - 89",60,2627,1391,4078,2021-04-26
">90",33,1132,572,1737,2021-04-26
