"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",49,712,3,764,2021-01-01
"20 - 24",11,221,0,232,2021-01-01
"25 - 29",14,385,3,402,2021-01-01
"30 - 34",17,511,3,531,2021-01-01
"35 - 39",31,599,9,639,2021-01-01
"40 - 44",41,778,4,823,2021-01-01
"45 - 49",61,1285,19,1365,2021-01-01
"50 - 54",117,2005,45,2167,2021-01-01
"55 - 59",144,2441,60,2645,2021-01-01
"60 - 64",187,2664,123,2974,2021-01-01
"65 - 69",192,2635,251,3078,2021-01-01
"70 - 74",327,3167,532,4026,2021-01-01
"75 - 79",357,3078,901,4336,2021-01-01
"80 - 84",340,2564,1102,4006,2021-01-01
"85 - 89",216,1628,877,2721,2021-01-01
">90",78,703,331,1112,2021-01-01
