"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,816,4,842,2021-03-01
"20 - 24",9,275,0,284,2021-03-01
"25 - 29",17,474,2,493,2021-03-01
"30 - 34",22,644,5,671,2021-03-01
"35 - 39",25,748,8,781,2021-03-01
"40 - 44",41,1000,8,1049,2021-03-01
"45 - 49",61,1652,21,1734,2021-03-01
"50 - 54",80,2656,57,2793,2021-03-01
"55 - 59",109,3328,84,3521,2021-03-01
"60 - 64",114,3635,175,3924,2021-03-01
"65 - 69",154,3504,372,4030,2021-03-01
"70 - 74",212,4334,761,5307,2021-03-01
"75 - 79",183,4225,1264,5672,2021-03-01
"80 - 84",215,3603,1569,5387,2021-03-01
"85 - 89",101,2283,1249,3633,2021-03-01
">90",44,990,510,1544,2021-03-01
