"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,745,4,769,2021-02-03
"20 - 24",4,251,0,255,2021-02-03
"25 - 29",11,440,2,453,2021-02-03
"30 - 34",8,587,3,598,2021-02-03
"35 - 39",28,683,8,719,2021-02-03
"40 - 44",25,898,8,931,2021-02-03
"45 - 49",51,1495,20,1566,2021-02-03
"50 - 54",79,2391,49,2519,2021-02-03
"55 - 59",114,2960,73,3147,2021-02-03
"60 - 64",163,3258,151,3572,2021-02-03
"65 - 69",166,3156,325,3647,2021-02-03
"70 - 74",237,3903,666,4806,2021-02-03
"75 - 79",257,3770,1120,5147,2021-02-03
"80 - 84",252,3188,1402,4842,2021-02-03
"85 - 89",165,2018,1096,3279,2021-02-03
">90",78,867,438,1383,2021-02-03
