"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,919,4,955,2021-03-29
"20 - 24",8,306,1,315,2021-03-29
"25 - 29",20,526,2,548,2021-03-29
"30 - 34",21,743,6,770,2021-03-29
"35 - 39",33,861,9,903,2021-03-29
"40 - 44",57,1133,10,1200,2021-03-29
"45 - 49",81,1900,21,2002,2021-03-29
"50 - 54",123,3024,61,3208,2021-03-29
"55 - 59",141,3779,95,4015,2021-03-29
"60 - 64",182,4072,193,4447,2021-03-29
"65 - 69",165,3917,407,4489,2021-03-29
"70 - 74",258,4816,844,5918,2021-03-29
"75 - 79",249,4654,1415,6318,2021-03-29
"80 - 84",181,3959,1705,5845,2021-03-29
"85 - 89",93,2491,1319,3903,2021-03-29
">90",45,1061,544,1650,2021-03-29
