"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1198,6,1246,2021-05-31
"20 - 24",7,408,3,418,2021-05-31
"25 - 29",14,696,2,712,2021-05-31
"30 - 34",21,1033,10,1064,2021-05-31
"35 - 39",24,1203,11,1238,2021-05-31
"40 - 44",27,1550,12,1589,2021-05-31
"45 - 49",59,2648,24,2731,2021-05-31
"50 - 54",84,4167,72,4323,2021-05-31
"55 - 59",91,5137,126,5354,2021-05-31
"60 - 64",80,5200,233,5513,2021-05-31
"65 - 69",87,5172,493,5752,2021-05-31
"70 - 74",109,6123,1034,7266,2021-05-31
"75 - 79",106,5741,1698,7545,2021-05-31
"80 - 84",84,4474,1924,6482,2021-05-31
"85 - 89",45,2733,1428,4206,2021-05-31
">90",24,1195,597,1816,2021-05-31
