"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1216,6,1259,2021-06-03
"20 - 24",2,411,3,416,2021-06-03
"25 - 29",13,699,2,714,2021-06-03
"30 - 34",15,1046,11,1072,2021-06-03
"35 - 39",26,1219,11,1256,2021-06-03
"40 - 44",28,1563,12,1603,2021-06-03
"45 - 49",53,2669,25,2747,2021-06-03
"50 - 54",74,4208,72,4354,2021-06-03
"55 - 59",93,5176,127,5396,2021-06-03
"60 - 64",60,5243,237,5540,2021-06-03
"65 - 69",81,5195,494,5770,2021-06-03
"70 - 74",92,6161,1038,7291,2021-06-03
"75 - 79",87,5770,1706,7563,2021-06-03
"80 - 84",82,4491,1932,6505,2021-06-03
"85 - 89",38,2749,1434,4221,2021-06-03
">90",17,1209,597,1823,2021-06-03
