"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,502,2,534,2020-11-08
"20 - 24",7,149,0,156,2020-11-08
"25 - 29",12,288,1,301,2020-11-08
"30 - 34",12,352,3,367,2020-11-08
"35 - 39",27,425,6,458,2020-11-08
"40 - 44",43,541,3,587,2020-11-08
"45 - 49",49,911,14,974,2020-11-08
"50 - 54",85,1405,34,1524,2020-11-08
"55 - 59",114,1642,45,1801,2020-11-08
"60 - 64",150,1792,85,2027,2020-11-08
"65 - 69",175,1716,165,2056,2020-11-08
"70 - 74",196,2134,376,2706,2020-11-08
"75 - 79",285,1978,608,2871,2020-11-08
"80 - 84",271,1584,749,2604,2020-11-08
"85 - 89",171,993,574,1738,2020-11-08
">90",68,416,204,688,2020-11-08
