"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,806,4,836,2021-02-22
"20 - 24",10,269,0,279,2021-02-22
"25 - 29",12,465,2,479,2021-02-22
"30 - 34",18,626,5,649,2021-02-22
"35 - 39",20,734,8,762,2021-02-22
"40 - 44",25,969,8,1002,2021-02-22
"45 - 49",53,1611,20,1684,2021-02-22
"50 - 54",80,2593,56,2729,2021-02-22
"55 - 59",97,3237,82,3416,2021-02-22
"60 - 64",116,3546,169,3831,2021-02-22
"65 - 69",126,3435,360,3921,2021-02-22
"70 - 74",210,4229,744,5183,2021-02-22
"75 - 79",222,4118,1236,5576,2021-02-22
"80 - 84",203,3503,1533,5239,2021-02-22
"85 - 89",138,2220,1206,3564,2021-02-22
">90",55,964,493,1512,2021-02-22
