"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,829,4,853,2021-03-04
"20 - 24",5,281,0,286,2021-03-04
"25 - 29",15,476,2,493,2021-03-04
"30 - 34",22,650,5,677,2021-03-04
"35 - 39",26,760,8,794,2021-03-04
"40 - 44",31,1020,8,1059,2021-03-04
"45 - 49",53,1682,21,1756,2021-03-04
"50 - 54",91,2693,57,2841,2021-03-04
"55 - 59",112,3371,86,3569,2021-03-04
"60 - 64",124,3669,180,3973,2021-03-04
"65 - 69",153,3540,377,4070,2021-03-04
"70 - 74",186,4403,772,5361,2021-03-04
"75 - 79",200,4261,1281,5742,2021-03-04
"80 - 84",180,3664,1589,5433,2021-03-04
"85 - 89",95,2314,1263,3672,2021-03-04
">90",52,995,513,1560,2021-03-04
