"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",19,790,4,813,2021-02-19
"20 - 24",7,267,0,274,2021-02-19
"25 - 29",12,459,2,473,2021-02-19
"30 - 34",18,621,4,643,2021-02-19
"35 - 39",21,725,8,754,2021-02-19
"40 - 44",33,949,8,990,2021-02-19
"45 - 49",56,1586,20,1662,2021-02-19
"50 - 54",85,2554,55,2694,2021-02-19
"55 - 59",97,3184,80,3361,2021-02-19
"60 - 64",138,3492,166,3796,2021-02-19
"65 - 69",137,3379,346,3862,2021-02-19
"70 - 74",200,4176,728,5104,2021-02-19
"75 - 79",236,4056,1208,5500,2021-02-19
"80 - 84",200,3447,1503,5150,2021-02-19
"85 - 89",139,2181,1178,3498,2021-02-19
">90",61,948,484,1493,2021-02-19
