"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,758,4,785,2021-01-12
"20 - 24",6,236,0,242,2021-01-12
"25 - 29",17,400,3,420,2021-01-12
"30 - 34",20,535,3,558,2021-01-12
"35 - 39",31,638,9,678,2021-01-12
"40 - 44",29,835,5,869,2021-01-12
"45 - 49",55,1368,19,1442,2021-01-12
"50 - 54",90,2168,48,2306,2021-01-12
"55 - 59",123,2641,66,2830,2021-01-12
"60 - 64",184,2869,134,3187,2021-01-12
"65 - 69",178,2843,278,3299,2021-01-12
"70 - 74",308,3466,588,4362,2021-01-12
"75 - 79",321,3361,988,4670,2021-01-12
"80 - 84",297,2804,1218,4319,2021-01-12
"85 - 89",198,1772,965,2935,2021-01-12
">90",95,758,365,1218,2021-01-12
