"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,774,4,801,2021-02-14
"20 - 24",7,256,0,263,2021-02-14
"25 - 29",9,455,2,466,2021-02-14
"30 - 34",20,612,4,636,2021-02-14
"35 - 39",17,718,8,743,2021-02-14
"40 - 44",29,933,8,970,2021-02-14
"45 - 49",54,1555,20,1629,2021-02-14
"50 - 54",86,2496,53,2635,2021-02-14
"55 - 59",106,3114,79,3299,2021-02-14
"60 - 64",125,3427,161,3713,2021-02-14
"65 - 69",155,3311,337,3803,2021-02-14
"70 - 74",220,4085,711,5016,2021-02-14
"75 - 79",236,3976,1177,5389,2021-02-14
"80 - 84",197,3364,1468,5029,2021-02-14
"85 - 89",137,2140,1158,3435,2021-02-14
">90",68,923,469,1460,2021-02-14
