"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1164,6,1210,2021-05-25
"20 - 24",9,402,2,413,2021-05-25
"25 - 29",18,677,2,697,2021-05-25
"30 - 34",21,1016,10,1047,2021-05-25
"35 - 39",23,1192,10,1225,2021-05-25
"40 - 44",34,1527,11,1572,2021-05-25
"45 - 49",73,2595,24,2692,2021-05-25
"50 - 54",101,4076,71,4248,2021-05-25
"55 - 59",133,5042,125,5300,2021-05-25
"60 - 64",93,5136,230,5459,2021-05-25
"65 - 69",113,5093,487,5693,2021-05-25
"70 - 74",150,6059,1024,7233,2021-05-25
"75 - 79",147,5674,1690,7511,2021-05-25
"80 - 84",92,4443,1913,6448,2021-05-25
"85 - 89",47,2720,1425,4192,2021-05-25
">90",17,1188,595,1800,2021-05-25
