"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1024,5,1062,2021-04-21
"20 - 24",14,337,1,352,2021-04-21
"25 - 29",27,596,2,625,2021-04-21
"30 - 34",32,848,9,889,2021-04-21
"35 - 39",41,989,9,1039,2021-04-21
"40 - 44",60,1300,10,1370,2021-04-21
"45 - 49",87,2161,23,2271,2021-04-21
"50 - 54",134,3425,64,3623,2021-04-21
"55 - 59",186,4256,108,4550,2021-04-21
"60 - 64",187,4532,209,4928,2021-04-21
"65 - 69",241,4365,436,5042,2021-04-21
"70 - 74",279,5376,924,6579,2021-04-21
"75 - 79",284,5097,1555,6936,2021-04-21
"80 - 84",134,4207,1811,6152,2021-04-21
"85 - 89",59,2611,1381,4051,2021-04-21
">90",32,1116,570,1718,2021-04-21
