"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,784,4,814,2021-01-23
"20 - 24",8,247,0,255,2021-01-23
"25 - 29",18,422,3,443,2021-01-23
"30 - 34",16,568,3,587,2021-01-23
"35 - 39",27,663,9,699,2021-01-23
"40 - 44",31,865,9,905,2021-01-23
"45 - 49",45,1445,19,1509,2021-01-23
"50 - 54",99,2300,50,2449,2021-01-23
"55 - 59",126,2823,68,3017,2021-01-23
"60 - 64",156,3079,142,3377,2021-01-23
"65 - 69",177,3025,298,3500,2021-01-23
"70 - 74",268,3708,633,4609,2021-01-23
"75 - 79",255,3605,1060,4920,2021-01-23
"80 - 84",250,3038,1328,4616,2021-01-23
"85 - 89",155,1927,1037,3119,2021-01-23
">90",73,821,406,1300,2021-01-23
