"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,768,4,792,2021-02-10
"20 - 24",3,254,0,257,2021-02-10
"25 - 29",10,454,2,466,2021-02-10
"30 - 34",18,604,4,626,2021-02-10
"35 - 39",21,707,8,736,2021-02-10
"40 - 44",34,919,8,961,2021-02-10
"45 - 49",60,1530,20,1610,2021-02-10
"50 - 54",84,2463,52,2599,2021-02-10
"55 - 59",116,3056,77,3249,2021-02-10
"60 - 64",154,3353,158,3665,2021-02-10
"65 - 69",145,3260,332,3737,2021-02-10
"70 - 74",217,4013,697,4927,2021-02-10
"75 - 79",257,3896,1164,5317,2021-02-10
"80 - 84",210,3301,1449,4960,2021-02-10
"85 - 89",142,2098,1137,3377,2021-02-10
">90",80,900,454,1434,2021-02-10
