"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,788,4,821,2021-01-25
"20 - 24",6,248,0,254,2021-01-25
"25 - 29",12,428,3,443,2021-01-25
"30 - 34",19,570,3,592,2021-01-25
"35 - 39",25,667,9,701,2021-01-25
"40 - 44",34,869,9,912,2021-01-25
"45 - 49",53,1449,19,1521,2021-01-25
"50 - 54",101,2315,50,2466,2021-01-25
"55 - 59",137,2840,70,3047,2021-01-25
"60 - 64",163,3103,143,3409,2021-01-25
"65 - 69",180,3039,302,3521,2021-01-25
"70 - 74",251,3738,640,4629,2021-01-25
"75 - 79",261,3625,1075,4961,2021-01-25
"80 - 84",254,3060,1339,4653,2021-01-25
"85 - 89",164,1941,1047,3152,2021-01-25
">90",82,822,413,1317,2021-01-25
