"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,966,5,1007,2021-04-08
"20 - 24",5,320,1,326,2021-04-08
"25 - 29",19,553,2,574,2021-04-08
"30 - 34",24,789,7,820,2021-04-08
"35 - 39",34,911,9,954,2021-04-08
"40 - 44",49,1201,10,1260,2021-04-08
"45 - 49",84,2005,21,2110,2021-04-08
"50 - 54",126,3209,63,3398,2021-04-08
"55 - 59",149,3975,104,4228,2021-04-08
"60 - 64",169,4299,202,4670,2021-04-08
"65 - 69",201,4082,419,4702,2021-04-08
"70 - 74",245,5081,877,6203,2021-04-08
"75 - 79",246,4845,1486,6577,2021-04-08
"80 - 84",174,4075,1757,6006,2021-04-08
"85 - 89",84,2545,1353,3982,2021-04-08
">90",36,1098,559,1693,2021-04-08
