"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,934,5,980,2021-04-02
"20 - 24",9,313,1,323,2021-04-02
"25 - 29",26,535,2,563,2021-04-02
"30 - 34",23,760,7,790,2021-04-02
"35 - 39",26,886,9,921,2021-04-02
"40 - 44",46,1169,10,1225,2021-04-02
"45 - 49",85,1945,21,2051,2021-04-02
"50 - 54",118,3103,63,3284,2021-04-02
"55 - 59",161,3868,96,4125,2021-04-02
"60 - 64",177,4183,195,4555,2021-04-02
"65 - 69",193,3985,412,4590,2021-04-02
"70 - 74",243,4956,864,6063,2021-04-02
"75 - 79",252,4736,1442,6430,2021-04-02
"80 - 84",166,4014,1728,5908,2021-04-02
"85 - 89",87,2520,1332,3939,2021-04-02
">90",36,1080,552,1668,2021-04-02
